词语,TF-IDF总和
复杂,11.96529625391123
恐怖,11.097897909275904
落后,10.048460302617032
不足,8.638060516166687
焦虑,7.551735702395716
短暂,6.61793907263159
严重,6.2026980655806545
骄傲,5.3666000408309245
意外,5.29929899677839
悲观,5.210075400568089
惊讶,5.169850893950112
沉默,4.382019757791241
着急,4.2237450606987395
激烈,4.129630969377414
惊人,4.082432145972133
激动,3.5046990053400244
昂贵,3.486089750296152
紧张,3.4249491791762647
无聊,3.3754030190538957
不利,3.1576465410659256
庞大,3.1234732108560883
狂暴,2.9060600113280497
最低,2.785202620292609
暴躁,2.782987673118232
矫情,2.498642312186969
模糊,2.147205065368731
悲哀,2.029691461797192
混沌,2.0235180014416088
不好意思,1.8565108878975138
不满,1.7868022996929664
困惑,1.773608593395478
糟糕,1.6583628759367302
沮丧,1.6197293743089514
吃惊,1.5542011350007592
虚假,1.4718099020027424
尴尬,1.3366201971160718
苦涩,1.3218858162372893
悲伤,1.1433139903733402
辛苦,1.133827696946062
短缺,1.103924402600275
老大,1.0838108354348601
粗暴,1.0808307445682348
低效,1.0551043737692836
强烈,1.0473228729940527
不雅,1.0
不巧,1.0
寂寞,1.0
阴湿,1.0
猛烈,1.0
生硬,1.0
崎岖,1.0
难吃,1.0
嘴硬,1.0
晦涩,0.9019872757905637
很惨,0.8802456061771234
诡秘,0.8679152792816537
不纯,0.8679152792816537
孤独,0.8659103657416136
豪横,0.8538810811117813
臃肿,0.8521779193379707
失效,0.8459867238118244
薄弱,0.8441909518561469
紧急,0.8249988727633879
傲慢,0.7999184200741685
荒谬,0.7887928740683008
混乱,0.7809270504554046
无效,0.7606893840500446
残酷,0.7567598668718285
松懈,0.7483306722666125
拙劣,0.71860713478864
不高,0.7071067811865476
冷眼,0.7071067811865476
卑微,0.7071067811865476
郁闷,0.7071067811865476
不安,0.6874806073374854
不大,0.6657937754876321
很烂,0.6586374218205712
僵硬,0.6554688759104279
犹豫,0.6399518341119863
惊愕,0.6384938679665696
伤害,0.6197014873417293
苦痛,0.5765926528273061
不易,0.5739643830924499
荒芜,0.5720935579689567
狡猾,0.5648771704728492
疲劳,0.5552149366013716
不幸,0.5543396564465681
苦难,0.5351990805007865
紊乱,0.5127199885705096
乏味,0.506619009001174
性急,0.5064185425487268
浑浊,0.5061799597206225
荒诞,0.4978249259548344
遗憾,0.49678084658248733
慵懒,0.4938463803227097
气馁,0.4788351060119292
冗余,0.4610529251836557
混杂,0.4481511132737157
不懂,0.4444594856649498
邪恶,0.42791690550512546
不良,0.42694054055589065
惊异,0.4247914549998691
沉重,0.4214397987478884
强迫,0.41620270309625756
频繁,0.41620270309625756
疲惫,0.38905271550752396
惊觉,0.38231972668957126
顽固,0.31160601811238553
不适,0.31130807460202137
胆寒,0.31130807460202137
隐晦,0.3017980129817989
奢侈,0.30123677508375324
艰难,0.29176635320071376
虚伪,0.28604677898447833
虚妄,0.28604677898447833
清苦,0.28604677898447833
诧异,0.27946739486042715
低沉,0.24692319016135486
诡异,0.24692319016135486
惊醒,0.24692319016135486
暧昧,0.24692319016135486
诡辩,0.242919346629782
微弱,0.22407555663685785
干燥,0.20495263406464012
严苛,0.18600255961415604
拖沓,0.15089900649089946
荒凉,0.15089900649089946
骄矜,0.14726790191235495
